detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_health_check SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,b68c042a-755c-45d8-80dc-da5507d5ee49,dtnotuyagygexmkyqtgb,1762997075966000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,4a4d0d5f-4b9d-40af-a068-a488deb1efc0,dtnotuyagygexmkyqtgb,1762997075966000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d2b75d09-acf6-45cd-b5ff-5cedca45c09b,dtnotuyagygexmkyqtgb,1762997075925000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,d62b9683-7eb0-4e86-8a54-def73f8c4824,dtnotuyagygexmkyqtgb,1762997075925000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,af0da760-33d2-4a64-83c0-55924a180faa,dtnotuyagygexmkyqtgb,1762997075917000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,ea17efc2-26e0-430f-8550-6cf691fcc2ae,dtnotuyagygexmkyqtgb,1762997075917000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,3ec06596-2010-4703-b0f1-15539143a613,dtnotuyagygexmkyqtgb,1762997075899000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,0d76f933-1701-4448-8bff-402c5de1a2db,dtnotuyagygexmkyqtgb,1762997075899000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,cd44e9f5-7708-4182-b731-120ee9041b9d,dtnotuyagygexmkyqtgb,1762997075889000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,9f9fb8cd-2214-4fde-9e0b-1b9267b1b6b9,dtnotuyagygexmkyqtgb,1762997075889000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,62460f94-0432-408d-9bec-a4283b013461,dtnotuyagygexmkyqtgb,1762997075888000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,55173997-4000-486e-ab1f-532e674e792d,dtnotuyagygexmkyqtgb,1762997075888000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,83b46f27-b6b7-47ea-aac0-bc7b5002cbc0,dtnotuyagygexmkyqtgb,1762997075877000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,f40b6535-bf53-40e5-8eb2-f6f5c325c0cd,dtnotuyagygexmkyqtgb,1762997075877000
null,LOG,connection received: host=2a05:d01c:3be:df00:5014:859b:72c:385d port=43050,null,1c19cd7f-7511-4ee1-89b4-2245d97b0347,dtnotuyagygexmkyqtgb,1762997075870000
